5HT2B P41595
AR P10275
B1AR CHEMBL213
B2AR CHEMBL210
BACE1 CHEMBL4822
BRD4 CHEMBL1163125
CDK2 CHEMBL301
DAT CHEMBL238
DHFR CHEMBL202
ELANE CHEMBL248
ERA CHEMBL206
F10 CHEMBL244
F2 CHEMBL204
GLUT1 CHEMBL2535
HSP90AA1 CHEMBL3880
MGLUR5 CHEMBL2564
NR3C1 CHEMBL2034
NR3C2 CHEMBL1994
P00760 CHEMBL3769
PDE10A CHEMBL4409
PLAU CHEMBL3286
PTPN1 CHEMBL335
PYGM CHEMBL4696
SIGMAR1 CHEMBL287
SLC6A4 CHEMBL228
SMO CHEMBL5971
VDR CHEMBL1977
P19491 CHEMBL3503
P22756 CHEMBL2919
Q05586-Q12879 CHEMBL1907604
