,pair_name,glide_rmsd,pair_name.1,glide_rmsd_top_2,glide_rmsd_top_3,glide_rmsd_top_5,glide_rmsd_top_10,glide_rmsd_top_50,glide_rmsd_top_100,min_pose_rmsd,structalign_rmsd,combind_rmsd,lig,struct,protein,pair,mol_same,mcss,glide_joe_rmsd,type
382,"('5HT2A', '6A93_lig-to-6A93')",0.4376489896275716,"('5HT2A', '6A93_lig-to-6A93')",0.4376489896275716,0.4376489896275716,0.4376489896275716,0.4376489896275716,0.4376489896275716,0.4376489896275716,0.4376489896275716,0.0,,6A93_lig,6A93,5HT2A,6A93_lig-to-6A93,True,1.0,0.4376489896275716,same_dock
383,"('5HT2A', '6A94_lig-to-6A93')",1.2042317298694103,"('5HT2A', '6A94_lig-to-6A93')",1.0054950058128087,1.0054950058128087,1.0009624371384458,0.8920334822711127,0.8876579120351691,0.8876579120351691,0.8876579120351691,0.551,,6A94_lig,6A93,5HT2A,6A94_lig-to-6A93,False,0.3181818181818182,1.2042317298694103,cross_dock
384,"('5HT2A', '6WH4_lig-to-6A93')",1.8407675256250675,"('5HT2A', '6WH4_lig-to-6A93')",1.811762720328166,1.655912982068062,1.2586735964805371,1.2586735964805371,0.9394196262333996,0.9394196262333996,0.9394196262333996,0.915,,6WH4_lig,6A93,5HT2A,6WH4_lig-to-6A93,False,0.2916666666666667,1.8407675256250675,cross_dock
385,"('5HT2A', '6WHA_lig-to-6A93')",4.5808717276715205,"('5HT2A', '6WHA_lig-to-6A93')",4.44036461311636,4.44036461311636,4.44036461311636,4.44036461311636,4.44036461311636,4.294288429160416,3.3876215246025017,1.257,,6WHA_lig,6A93,5HT2A,6WHA_lig-to-6A93,False,0.2608695652173913,4.5808717276715205,cross_dock
386,"('5HT2A', '6WGT_lig-to-6A94')",1.461568240330556,"('5HT2A', '6WGT_lig-to-6A94')",1.461568240330556,1.461568240330556,1.461568240330556,1.461568240330556,1.0900299105288158,1.0900299105288158,1.0900299105288158,0.786,1.461568240330556,6WGT_lig,6A94,5HT2A,6WGT_lig-to-6A94,False,0.0,1.461568240330556,cross_dock
387,"('5HT2A', '6A93_lig-to-6A94')",9.895746773079438,"('5HT2A', '6A93_lig-to-6A94')",3.356494997199261,3.356494997199261,3.356494997199261,3.1318290032566853,0.8996952279499242,0.8996952279499242,0.8996952279499242,0.551,9.895746773079438,6A93_lig,6A94,5HT2A,6A93_lig-to-6A94,False,0.3181818181818182,9.895746773079438,cross_dock
388,"('5HT2A', '6A94_lig-to-6A94')",0.274484086708634,"('5HT2A', '6A94_lig-to-6A94')",0.274484086708634,0.274484086708634,0.274484086708634,0.274484086708634,0.274484086708634,0.274484086708634,0.274484086708634,0.0,0.274484086708634,6A94_lig,6A94,5HT2A,6A94_lig-to-6A94,True,1.0,0.274484086708634,same_dock
389,"('5HT2A', '6WH4_lig-to-6A94')",1.7260802844194896,"('5HT2A', '6WH4_lig-to-6A94')",0.8584512569191588,0.8584512569191588,0.6267254462139569,0.6267254462139569,0.6267254462139569,0.6267254462139569,0.6267254462139569,0.756,1.7260802844194896,6WH4_lig,6A94,5HT2A,6WH4_lig-to-6A94,False,0.6818181818181818,1.7260802844194896,cross_dock
390,"('5HT2A', '6WHA_lig-to-6A94')",4.7955263784370725,"('5HT2A', '6WHA_lig-to-6A94')",4.7955263784370725,4.7955263784370725,4.7955263784370725,4.7955263784370725,4.555578621949676,4.421371510897721,4.30101213497403,1.275,5.0271020450509365,6WHA_lig,6A94,5HT2A,6WHA_lig-to-6A94,False,0.2727272727272727,4.7955263784370725,cross_dock
391,"('5HT2A', '6WGT_lig-to-AF_6A93')",2.3051060864765254,"('5HT2A', '6WGT_lig-to-AF_6A93')",1.3022647470850064,1.3022647470850064,1.3022647470850064,1.3022647470850064,1.063027727112692,1.063027727112692,1.063027727112692,0.733,,6WGT_lig,AF_6A93,5HT2A,6WGT_lig-to-AF_6A93,False,0.4166666666666667,2.3051060864765254,AF_dock
