thresh,helpers,weight,protein,COMBIND,GLIDE,COMBIND_GLIDE,GLIDE_COMBIND,2D_mean,SHAPE_mean
0.25,1,1.0,pgh1,0.0917566343993393,0.09109308810384105,0.08053767971406871,0.06502078586077073,0.036750146165857686,0.03907417825465329
0.25,1,1.0,pgh2,0.07438651490416406,0.10585785377387018,0.08841342333347925,0.056653220819656055,0.04780683352076527,0.022127470442658982
0.25,1,1.0,plk1,0.2292394078036322,0.38775703765756575,0.33909762838228197,0.23688087776417469,-0.07861358704055535,0.10518956374964855
0.25,1,1.0,pparg,0.09951319899803948,0.09113084777639124,0.08864773026046009,0.08480784285872989,-0.03531133309561572,-0.051984553560963376
0.25,1,1.0,prgr,0.2991319031674757,0.28925285876662243,0.2741996688545963,0.24805937374739165,0.09421317056531694,0.08640590008017135
0.25,1,1.0,ptn1,0.2271034048951107,0.2774260096470322,0.25525912344178703,0.16372905635799842,0.007054016341068239,-0.010377740341776428
0.25,1,1.0,rock1,0.4846721194367877,0.6637840871493917,0.5495167882095291,0.35592612078427044,0.04917517225850941,-0.022976478998763497
0.25,1,1.0,src,0.09189155943357401,0.14910882197190117,0.15539516748123275,0.08017030737399534,-0.004385374631558564,0.060233985859036096
0.25,1,1.0,thrb,0.3390065305565445,0.30712885340786605,0.28774416288280835,0.3065302457312985,0.07144998327911428,0.058117908473464965
0.25,1,1.0,try1,0.2563154260967693,0.15781410224468678,0.15189795544428342,0.23855121305453414,0.037000221357438474,0.10073453497039594
0.25,1,1.0,tysy,0.19957942152351585,0.3061151288453162,0.29486993629298264,0.12453266851837977,0.10648708317267155,0.10557331384616733
0.25,1,1.0,urok,0.505147209979165,0.25144546838069537,0.2476685886733883,0.5034565384810118,0.11591432928496323,0.14563267216246567
0.25,1,1.0,vgfr2,0.06067717725147238,0.06898854310829591,0.05952886701736419,0.052123882377284235,0.020144060625862555,0.13107670985274913
0.25,3,1.0,aa2ar,0.38956186115235725,0.29524917239401616,0.26285879548130825,0.38196011730010676,0.19781532621667136,0.27463442017986794
0.25,3,1.0,abl1,0.2676398581354292,0.3061635082904245,0.30006667407799326,0.24722229772994853,0.06372683728051091,0.19983392276376527
0.25,3,1.0,ace,0.15636788854389963,0.11350291418682971,0.10313633216338458,0.15931102854674453,-0.01329124288236299,-0.0007547027058223271
0.25,3,1.0,aces,0.03434223176939939,0.0649175926416722,0.04717157166169855,0.02096461156748251,0.03826565415526926,0.005521687922342347
0.25,3,1.0,ada17,0.06214353833473133,0.057961529097745455,0.06383309089382243,0.06662459874827201,-0.01875757148053614,0.1881584802631317
0.25,3,1.0,adrb1,0.31360845638760904,0.10428435320828941,0.10259615465481407,0.2669756893333789,0.028171965413720832,0.14234824251700048
0.25,3,1.0,adrb2,0.21098974515541724,0.08463394709577113,0.07806280355868264,0.19582349628829257,0.07530106896310203,0.2044477504672956
0.25,3,1.0,akt1,0.053158950378783675,0.14039613532232012,0.08716938703878693,0.02259220385680402,0.11956315007236382,0.012177696609542113
0.25,3,1.0,aldr,0.03419715412774564,0.029382318738030728,0.03262543489908179,0.0316240852231896,0.13115854009989597,-0.0025671111700628748
0.25,3,1.0,andr,0.2522803848832017,0.26586962945490106,0.2550239030783426,0.22218480842259147,0.15524773743785364,0.05457509362346491
0.25,3,1.0,aofb,0.07560472156118893,0.08915630168631741,0.07665654885477304,0.05863804372443628,0.09467032819593353,0.018335405106436005
0.25,3,1.0,bace1,0.14895577833021048,0.12223312873884322,0.11271966840502361,0.16157551458003738,0.03749509979555207,0.0028591075362808193
0.25,3,1.0,cah2,0.00893516318436969,-1.6598955985963615e-05,-0.005133480715701032,-0.008865655837371473,0.3551044444008739,0.4703216679551622
0.25,3,1.0,casp3,0.11454549523254905,0.08121567365664789,0.09154358271166729,0.1170643299571278,0.015801921226537296,0.0935181913386256
0.25,3,1.0,cdk2,0.3278602641807274,0.27378606149812007,0.27333089889047935,0.30678486823667805,0.08023176481064768,0.15591566377050398
0.25,3,1.0,cp2c9,0.005311570463532917,0.01804816904141603,0.01593572218187437,0.002525263360996516,0.14721050918097628,0.1138148913544644
0.25,3,1.0,cp3a4,0.09977036730538097,0.12578787852552312,0.08910967885428961,0.07017237269488746,0.020565900341060095,0.006669460189893978
0.25,3,1.0,csf1r,0.14638768929467774,0.15084266021370332,0.1604706413660588,0.10628809337826753,-0.01809381853778319,0.05196479506173196
0.25,3,1.0,dhi1,0.12523253545855517,0.1107562158631203,0.10356211485843261,0.11659126754232348,0.1459887311079028,0.0514594216281097
0.25,3,1.0,dpp4,0.27090752022159564,0.30947377784746904,0.30468128429281516,0.24278584269936454,0.15085108154878904,0.06480492356535425
