thresh,helpers,weight,protein,COMBIND,GLIDE,COMBIND+2D,GLIDE+2D
0.25,0,15.0,ace,0.07350235859425275,0.11350291418682971,0.047705605468427364,0.04470504775580007
0.25,0,15.0,aces,0.03111987479514349,0.0649175926416722,0.03129884742052373,0.044621254172593924
0.25,0,15.0,ada17,-0.010301280235543034,0.057961529097745455,-0.022235665471724127,0.007460205858884031
0.25,0,15.0,adrb1,0.3785195017237529,0.10428435320828941,0.4094194348176611,0.1358651908510927
0.25,0,15.0,adrb2,0.2434591127019904,0.08463394709577113,0.27918884841249614,0.14308042504898294
0.25,0,15.0,akt1,0.06297789809441333,0.14039613532232012,0.07538899620972037,0.19353997143859275
0.25,0,15.0,aldr,0.020019619790436146,0.029382318738030728,0.04165671492908863,0.0701792744580888
0.25,0,15.0,andr,0.25848704816153634,0.26586962945490106,0.24746509797163352,0.2364900001391545
0.25,0,15.0,aofb,0.13172610541307622,0.08915630168631741,0.1582481934898523,0.12481066542826302
0.25,0,15.0,bace1,0.13034252600114504,0.12223312873884322,0.124000324729719,0.06608026535785522
0.25,0,15.0,cah2,0.011169405865366643,0.0017649833572781215,0.07417378617832515,0.22314684088017614
0.25,0,15.0,casp3,0.12227396727462167,0.08121567365664789,0.1120582129538317,0.06036931233160104
0.25,0,15.0,cdk2,0.3238137663442431,0.27378606149812007,0.3323360730687245,0.26519160600978936
0.25,0,15.0,cp2c9,0.015502739147430195,0.01804816904141603,0.04176776892994772,0.06124114719497834
0.25,0,15.0,cp3a4,0.16106389217050637,0.155304138904838,0.13902941522600115,0.10710253375498306
0.25,0,15.0,csf1r,0.11498486862794147,0.15084266021370332,0.12284116269702797,0.0755404211072343
0.25,0,15.0,dhi1,0.10563760117436014,0.1107562158631203,0.12909886657412553,0.1681970655033492
0.25,0,15.0,dpp4,0.22783838260596836,0.30947377784746904,0.26258145323449866,0.36177656765472904
0.25,0,15.0,drd3,0.07126016074203514,0.08021388968902585,0.08291450258547285,0.10549165688485562
0.25,0,15.0,dyr,0.45475031090067103,0.17945886010926906,0.5055007928396751,0.28332814257838984
0.25,0,15.0,egfr,0.13881174199901927,0.09766827838114153,0.1507436771453869,0.10219477494058671
0.25,0,15.0,esr1,0.3213768915652894,0.31055837880080833,0.2993444383893143,0.25749468764618155
0.25,0,15.0,esr2,0.45411126532153895,0.3600054571520028,0.35034333933424405,0.16610052914065063
0.25,0,15.0,fa10,0.4143690874407143,0.41888001512530354,0.4483172956370316,0.49161115107071157
0.25,0,15.0,fgfr1,0.12941687096662396,0.11094402789875174,0.14129908939650485,0.1211210717763206
0.25,0,15.0,fnta,0.10210551640051788,0.14082435534589396,0.09838227321971649,0.13690037906195246
0.25,0,15.0,gcr,0.18851998078634283,0.1308769666845502,0.19844355571238106,0.15109818015344761
0.25,0,15.0,grik1,0.2127815551796343,0.2291969438183334,0.2874648307932787,0.457545912025108
0.25,0,15.0,hdac2,-0.005904754333664997,0.03269728679447381,-0.006110544078350627,0.03466296977503597
0.25,0,15.0,hdac8,0.13027028599725832,0.24524339438705417,0.12567447506422375,0.23473294610047435
0.25,0,15.0,hivpr,-0.013543412034113958,0.006577935953914471,-0.021370903022263254,-0.015009734367205036
0.25,0,15.0,hivrt,0.2850260894237817,0.24083561851292123,0.27731090199283326,0.22606518677765336
0.25,0,15.0,igf1r,0.25725360608607284,0.1876811245009119,0.2621200373731637,0.18079385774419912
0.25,0,15.0,jak2,0.38960381326045623,0.4012822231977041,0.378740113827008,0.3275806836698525
0.25,0,15.0,kit,0.2166422994826659,0.1626150560540746,0.22125911143487048,0.1486940900503961
0.25,0,15.0,kpcb,0.19867389218917425,0.17992358463500707,0.16638939037389397,0.11582531072400035
0.25,0,15.0,lck,0.28988351929752687,0.32988060852026724,0.26117228093377276,0.20323709911794277
0.25,0,15.0,mcr,0.3399857308510393,0.34982003106423315,0.31809607106091287,0.2866556359178932
0.25,0,15.0,met,0.19017993192111157,0.21015165731928642,0.1889785637732052,0.19321715761142516
0.25,0,15.0,mk01,0.15222991559684793,0.1035426011940493,0.139875613802609,0.11495651710718227
0.25,0,15.0,mk10,0.23750310680927256,0.4218350248862661,0.22738384960568475,0.3162385410318395
0.25,0,15.0,mk14,0.38181034163351535,0.39464595348169706,0.37593277074842213,0.3857015030055992
0.25,0,15.0,mmp13,0.2823926439936906,0.1904158693752422,0.29255489446864524,0.23039015430167878
0.25,0,15.0,mp2k1,0.08046411852424198,0.12447412588556739,0.11598763370070424,0.07888357717193277
0.25,0,15.0,nos1,0.1907015015619801,0.18419258847876532,0.18214358686869309,0.1367100391765504
0.25,0,15.0,pa2ga,-0.010020424719984156,-0.03621654818816995,-0.03401833055658879,-0.06692220064857589
0.25,0,15.0,parp1,0.7252801114539257,0.7619005285698057,0.7243923337875113,0.7429281942481845
0.25,0,15.0,pde5a,0.2396209335998553,0.16948542406730024,0.26214777017963964,0.20531979287851096
0.25,0,15.0,pgh1,0.091123396759436,0.09109308810384105,0.08398086280804126,0.07093182706001629
0.25,0,15.0,pgh2,0.08036549360079012,0.10585785377387018,0.08491393887912896,0.10740041488550571
0.25,0,15.0,plk1,0.339526657948793,0.38775703765756575,0.27540484065326654,0.12289238658347193
0.25,0,15.0,pparg,0.1335267919863407,0.09113084777639124,0.11325501116273935,0.04780060479982216
0.25,0,15.0,prgr,0.27318059153914287,0.28925285876662243,0.25831744258758055,0.24830794083359503
0.25,0,15.0,ptn1,0.22811156498343524,0.2774260096470322,0.22254971804684653,0.28353050057315465
0.25,0,15.0,rock1,0.47512490164743815,0.6637840871493917,0.46607616769898474,0.5728562338803331
0.25,0,15.0,src,0.08172682493690582,0.14910882197190117,0.07411245356233259,0.1034109918216803
0.25,0,15.0,thrb,0.3656722806752136,0.30712885340786605,0.39090092876590304,0.3086908597549368
0.25,0,15.0,try1,0.21356000919950047,0.15781410224468678,0.18357905603449973,0.09371797698003834
0.25,0,15.0,tysy,0.2805574756843895,0.3061151288453162,0.3186478989670849,0.3901731460296164
0.25,0,15.0,urok,0.48251833871458827,0.25144546838069537,0.47277858288883456,0.2254905247416437
0.25,0,15.0,vgfr2,0.056341437457719114,0.06898854310829591,0.04741455693104414,0.04931695471105303
0.25,0,20.0,aa2ar,0.3593936943116369,0.29524917239401616,0.3565329748771095,0.29061779998836534
0.25,0,20.0,abl1,0.2610541159553099,0.3061635082904245,0.2673784894524943,0.29864889159330393
0.25,0,20.0,ace,0.07350235859425275,0.11350291418682971,0.04173975023429559,0.027578178568027356
0.25,0,20.0,aces,0.03111987479514349,0.0649175926416722,0.031093253738773207,0.03847275148380997
0.25,0,20.0,ada17,-0.010301280235543034,0.057961529097745455,-0.024603658589610347,-0.004164593878341114
0.25,0,20.0,adrb1,0.3785195017237529,0.10428435320828941,0.40938319854074806,0.14366819059843874
0.25,0,20.0,adrb2,0.2434591127019904,0.08463394709577113,0.2801082002611822,0.1607516770693635
0.25,0,20.0,akt1,0.06297789809441333,0.14039613532232012,0.07963062362326376,0.20198353829778096
0.25,0,20.0,aldr,0.020019619790436146,0.029382318738030728,0.0471770739597613,0.0762493916722971
0.25,0,20.0,andr,0.25848704816153634,0.26586962945490106,0.23712554269402658,0.2014012688025563
0.25,0,20.0,aofb,0.13172610541307622,0.08915630168631741,0.14981298357225267,0.13703233449514932
0.25,0,20.0,bace1,0.13034252600114504,0.12223312873884322,0.12015646083413045,0.053135879146272914
0.25,0,20.0,cah2,0.011169405865366643,0.0017649833572781215,0.0969261023993739,0.28180595632597794
0.25,0,20.0,casp3,0.12227396727462167,0.08121567365664789,0.10512512591819133,0.0525451462925622
0.25,0,20.0,cdk2,0.3238137663442431,0.27378606149812007,0.3324267079563262,0.2511542197760731
0.25,0,20.0,cp2c9,0.015502739147430195,0.01804816904141603,0.047631568638631515,0.07004164539907161
0.25,0,20.0,cp3a4,0.16106389217050637,0.155304138904838,0.13152744294717325,0.09362269920587715
0.25,0,20.0,csf1r,0.11498486862794147,0.15084266021370332,0.11628834289902759,0.04768615590446995
0.25,0,20.0,dhi1,0.10563760117436014,0.1107562158631203,0.13780990418696698,0.17302615726092896
0.25,0,20.0,dpp4,0.22783838260596836,0.30947377784746904,0.27372106287130993,0.35772247115430844
0.25,0,20.0,drd3,0.07126016074203514,0.08021388968902585,0.08549074310554718,0.10799414474589582
0.25,0,20.0,dyr,0.45475031090067103,0.17945886010926906,0.5112742760193709,0.29239908194083375
0.25,0,20.0,egfr,0.13881174199901927,0.09766827838114153,0.15614563585436056,0.10048141952655099
0.25,0,20.0,esr1,0.3213768915652894,0.31055837880080833,0.29116772077733666,0.2378164066085932
0.25,0,20.0,esr2,0.45411126532153895,0.3600054571520028,0.3055453202950401,0.12199513234939305
0.25,0,20.0,fa10,0.4143690874407143,0.41888001512530354,0.4532073323202085,0.49785545972713685
0.25,0,20.0,fgfr1,0.12941687096662396,0.11094402789875174,0.13534161136601874,0.12165826622051086
0.25,0,20.0,fnta,0.10210551640051788,0.14082435534589396,0.09205232315654746,0.13380592536875352
0.25,0,20.0,gcr,0.18851998078634283,0.1308769666845502,0.1997558524748469,0.15782059118525615
0.25,0,20.0,grik1,0.2127815551796343,0.2291969438183334,0.31075723072088596,0.4961138245775936
0.25,0,20.0,hdac2,-0.005904754333664997,0.03269728679447381,-0.00504782442964119,0.02952360747413818
0.25,0,20.0,hdac8,0.13027028599725832,0.24524339438705417,0.12534158915084723,0.23029465434090987
0.25,0,20.0,hivpr,-0.013543412034113958,0.006577935953914471,-0.02133796286644498,-0.01858580372916143
0.25,0,20.0,hivrt,0.2850260894237817,0.24083561851292123,0.2752152587152074,0.21005609848874607
0.25,0,20.0,igf1r,0.25725360608607284,0.1876811245009119,0.2643872415855077,0.1733075836923295
0.25,0,20.0,jak2,0.38960381326045623,0.4012822231977041,0.3746796559217319,0.29200887491331784
0.25,0,20.0,kit,0.2166422994826659,0.1626150560540746,0.2185558191157431,0.138782383917407
0.25,0,20.0,kpcb,0.19867389218917425,0.17992358463500707,0.156249676955772,0.0967520775353123
0.25,0,20.0,lck,0.28988351929752687,0.32988060852026724,0.24793759204554813,0.1658032766588689
0.25,0,20.0,mcr,0.3399857308510393,0.34982003106423315,0.29463492723591533,0.3019576475664243
0.25,0,20.0,met,0.19017993192111157,0.21015165731928642,0.1825079848191302,0.1837521616481595
0.25,0,20.0,mk01,0.15222991559684793,0.1035426011940493,0.15034823421577115,0.1130055839522105
0.25,0,20.0,mk10,0.23750310680927256,0.4218350248862661,0.2222469449727689,0.28536588875414165
0.25,0,20.0,mk14,0.38181034163351535,0.39464595348169706,0.3589834661226286,0.3808393813104912
0.25,0,20.0,mmp13,0.2823926439936906,0.1904158693752422,0.29881495312309136,0.24222765624760267
0.25,0,20.0,mp2k1,0.08046411852424198,0.12447412588556739,0.10281677842832226,0.06435894945600995
0.25,0,20.0,nos1,0.1907015015619801,0.18419258847876532,0.17650546496790268,0.12049931894039931
0.25,0,20.0,pa2ga,-0.010020424719984156,-0.03621654818816995,-0.04081099181799844,-0.07064514116156913
0.25,0,20.0,parp1,0.7252801114539257,0.7619005285698057,0.7176208144614262,0.7331325610753266
0.25,0,20.0,pde5a,0.2396209335998553,0.16948542406730024,0.26821447156481437,0.21665051097545404
0.25,0,20.0,pgh1,0.091123396759436,0.09109308810384105,0.08037533851720961,0.06517178375177121
0.25,0,20.0,pgh2,0.08036549360079012,0.10585785377387018,0.08244680164948079,0.10307830797872466
0.25,0,20.0,plk1,0.339526657948793,0.38775703765756575,0.2481642297498534,0.1081482742032999
0.25,0,20.0,pparg,0.1335267919863407,0.09113084777639124,0.10616761642340525,0.03895839870250918
0.25,0,20.0,prgr,0.27318059153914287,0.28925285876662243,0.25426612905732143,0.23341961457151167
0.25,0,20.0,ptn1,0.22811156498343524,0.2774260096470322,0.21746870492789228,0.2699199895183067
0.25,0,20.0,rock1,0.47512490164743815,0.6637840871493917,0.46026741644912034,0.5013481605810662
0.25,0,20.0,src,0.08172682493690582,0.14910882197190117,0.07082473635937102,0.086985193314317
0.25,0,20.0,thrb,0.3656722806752136,0.30712885340786605,0.39670836108576213,0.3065739011982685
0.25,0,20.0,try1,0.21356000919950047,0.15781410224468678,0.1756697698966649,0.07610594360735927
0.25,0,20.0,tysy,0.2805574756843895,0.3061151288453162,0.32586891643403537,0.38972086442591014
0.25,0,20.0,urok,0.48251833871458827,0.25144546838069537,0.4646242629531523,0.22438912791452867
0.25,0,20.0,vgfr2,0.056341437457719114,0.06898854310829591,0.04562554093783218,0.04678618601187926
0.25,0,25.0,aa2ar,0.3593936943116369,0.29524917239401616,0.34927008699206147,0.2877040618281911
0.25,0,25.0,abl1,0.2610541159553099,0.3061635082904245,0.2652665225037929,0.28360700659019
0.25,0,25.0,ace,0.07350235859425275,0.11350291418682971,0.034120682920650125,0.013377464896013644
0.25,0,25.0,aces,0.03111987479514349,0.0649175926416722,0.03149273512722584,0.034981745330523666
0.25,0,25.0,ada17,-0.010301280235543034,0.057961529097745455,-0.027247358030537544,-0.012192279218543147
0.25,0,25.0,adrb1,0.3785195017237529,0.10428435320828941,0.4095159447729776,0.1535652720988584
0.25,0,25.0,adrb2,0.2434591127019904,0.08463394709577113,0.2863567315678963,0.15329276625869098
0.25,0,25.0,akt1,0.06297789809441333,0.14039613532232012,0.08742985276361186,0.20820401913499204
0.25,0,25.0,aldr,0.020019619790436146,0.029382318738030728,0.050795191170715494,0.07870137311481726
0.25,0,25.0,andr,0.25848704816153634,0.26586962945490106,0.22489631513568833,0.17593773206460353
0.25,0,25.0,aofb,0.13172610541307622,0.08915630168631741,0.13808574811011873,0.14198849698955746
0.25,0,25.0,bace1,0.13034252600114504,0.12223312873884322,0.11713290223128107,0.04737099315154097
0.25,0,25.0,cah2,0.011169405865366643,0.0017649833572781215,0.11955510633837663,0.33316280172820556
0.25,0,25.0,casp3,0.12227396727462167,0.08121567365664789,0.1002953274522079,0.04830738176553698
0.25,0,25.0,cdk2,0.3238137663442431,0.27378606149812007,0.3306844765696701,0.23925735639028148
0.25,0,25.0,cp2c9,0.015502739147430195,0.01804816904141603,0.05476248703807204,0.07265972532930862
0.25,0,25.0,cp3a4,0.16106389217050637,0.155304138904838,0.12279255641355495,0.07857302956780274
0.25,0,25.0,csf1r,0.11498486862794147,0.15084266021370332,0.10956177379530155,0.03199297278455379
0.25,0,25.0,dhi1,0.10563760117436014,0.1107562158631203,0.14329133676025813,0.179845577542537
0.25,0,25.0,dpp4,0.22783838260596836,0.30947377784746904,0.2816350640017329,0.34587796605655696
0.25,0,25.0,drd3,0.07126016074203514,0.08021388968902585,0.08566365829278308,0.10992146171739234
0.25,0,25.0,dyr,0.45475031090067103,0.17945886010926906,0.5081661661033271,0.2904383235706956
0.25,0,25.0,egfr,0.13881174199901927,0.09766827838114153,0.16072622651966217,0.09690434492246876
0.25,0,25.0,esr1,0.3213768915652894,0.31055837880080833,0.28652446258766845,0.22149471309143842
0.25,0,25.0,esr2,0.45411126532153895,0.3600054571520028,0.2777884091909455,0.09164356416507444
0.25,0,25.0,fa10,0.4143690874407143,0.41888001512530354,0.46453194999540337,0.4946109520373406
0.25,0,25.0,fgfr1,0.12941687096662396,0.11094402789875174,0.1401689605436675,0.12032588582970684
0.25,0,25.0,fnta,0.10210551640051788,0.14082435534589396,0.09084772628394991,0.13132989315250815
0.25,0,25.0,gcr,0.18851998078634283,0.1308769666845502,0.20491183708767427,0.16195955238861953
0.25,0,25.0,grik1,0.2127815551796343,0.2291969438183334,0.33703130159227107,0.5028129967030599
0.25,0,25.0,hdac2,-0.005904754333664997,0.03269728679447381,-0.004463861056551721,0.02830887677375482
0.25,0,25.0,hdac8,0.13027028599725832,0.24524339438705417,0.12448641893950677,0.22379981211889294
0.25,0,25.0,hivpr,-0.013543412034113958,0.006577935953914471,-0.023873124153352465,-0.019419369834516115
0.25,0,25.0,hivrt,0.2850260894237817,0.24083561851292123,0.27232693117281526,0.19575672170689423
0.25,0,25.0,igf1r,0.25725360608607284,0.1876811245009119,0.2613311403666672,0.1632796000787056
0.25,0,25.0,jak2,0.38960381326045623,0.4012822231977041,0.3593624356543116,0.25849281048012585
0.25,0,25.0,kit,0.2166422994826659,0.1626150560540746,0.2143997281894362,0.12164181159380244
0.25,0,25.0,kpcb,0.19867389218917425,0.17992358463500707,0.14394865552439592,0.0791082163708746
0.25,0,25.0,lck,0.28988351929752687,0.32988060852026724,0.2361871503043344,0.1348834742638751
0.25,0,25.0,mcr,0.3399857308510393,0.34982003106423315,0.28187869408787863,0.2587491364446007
0.25,0,25.0,met,0.19017993192111157,0.21015165731928642,0.17943083331616388,0.17329266314826075
0.25,0,25.0,mk01,0.15222991559684793,0.1035426011940493,0.15253996530981498,0.10620495360264386
0.25,0,25.0,mk10,0.23750310680927256,0.4218350248862661,0.2166377725384681,0.2892321711515308
0.25,0,25.0,mk14,0.38181034163351535,0.39464595348169706,0.366365825413305,0.38541063664213054
0.25,0,25.0,mmp13,0.2823926439936906,0.1904158693752422,0.30233784140920034,0.2467933631307396
0.25,0,25.0,mp2k1,0.08046411852424198,0.12447412588556739,0.09419892590960507,0.05149845149015173
0.25,0,25.0,nos1,0.1907015015619801,0.18419258847876532,0.16826340581682228,0.1060244862113281
0.25,0,25.0,pa2ga,-0.010020424719984156,-0.03621654818816995,-0.046707769047463085,-0.07401269559421227
0.25,0,25.0,parp1,0.7252801114539257,0.7619005285698057,0.7137178542546238,0.7072792208237144
0.25,0,25.0,pde5a,0.2396209335998553,0.16948542406730024,0.26896523229668823,0.22385565739612287
0.25,0,25.0,pgh1,0.091123396759436,0.09109308810384105,0.0786749551166341,0.06015962177724765
0.25,0,25.0,pgh2,0.08036549360079012,0.10585785377387018,0.08188823217217342,0.09771947738901816
0.25,0,25.0,plk1,0.339526657948793,0.38775703765756575,0.21970964503012638,0.07465369249452053
0.25,0,25.0,pparg,0.1335267919863407,0.09113084777639124,0.09829845536961587,0.029746724298022265
0.25,0,25.0,prgr,0.27318059153914287,0.28925285876662243,0.25007731406135203,0.21908863669788023
0.25,0,25.0,ptn1,0.22811156498343524,0.2774260096470322,0.21391280886449082,0.2611004543259802
0.25,0,25.0,rock1,0.47512490164743815,0.6637840871493917,0.4516554312344682,0.4002485159925947
0.25,0,25.0,src,0.08172682493690582,0.14910882197190117,0.0692298616025581,0.0740372289857996
0.25,0,25.0,thrb,0.3656722806752136,0.30712885340786605,0.39834383145192626,0.2987472388281822
0.25,0,25.0,try1,0.21356000919950047,0.15781410224468678,0.16462009441460942,0.06215592231072531
0.25,0,25.0,tysy,0.2805574756843895,0.3061151288453162,0.33297513020689684,0.3971235632761686
0.25,0,25.0,urok,0.48251833871458827,0.25144546838069537,0.4660495312750075,0.2319213713553201
0.25,0,25.0,vgfr2,0.056341437457719114,0.06898854310829591,0.0423507472322536,0.043498445772930314
0.25,0,30.0,aa2ar,0.3593936943116369,0.29524917239401616,0.34676287508842496,0.2782805743857308
0.25,0,30.0,abl1,0.2610541159553099,0.3061635082904245,0.26485089399287054,0.2721002863442375
0.25,0,30.0,ace,0.07350235859425275,0.11350291418682971,0.02726848844401325,0.0029801576891348436
0.25,0,30.0,aces,0.03111987479514349,0.0649175926416722,0.03158201422654709,0.031956648209120336
0.25,0,30.0,ada17,-0.010301280235543034,0.057961529097745455,-0.028215585831852942,-0.01810635444479542
0.25,0,30.0,adrb1,0.3785195017237529,0.10428435320828941,0.41016040456642444,0.15865941794406757
0.25,0,30.0,adrb2,0.2434591127019904,0.08463394709577113,0.2871601363498805,0.15645394280063216
0.25,0,30.0,akt1,0.06297789809441333,0.14039613532232012,0.09047593877633693,0.21317973502759627
0.25,0,30.0,aldr,0.020019619790436146,0.029382318738030728,0.05471793007410451,0.08359973763015764
0.25,0,30.0,andr,0.25848704816153634,0.26586962945490106,0.21215033634838618,0.15576730840843786
0.25,0,30.0,aofb,0.13172610541307622,0.08915630168631741,0.14007269768540534,0.14685217742291679
0.25,0,30.0,bace1,0.13034252600114504,0.12223312873884322,0.11219952728707402,0.042126159089786966
0.25,0,30.0,cah2,0.011169405865366643,0.0017649833572781215,0.1378496086491255,0.3606959150934895
0.25,0,30.0,casp3,0.12227396727462167,0.08121567365664789,0.09732536671255512,0.06176676325115893
0.25,0,30.0,cdk2,0.3238137663442431,0.27378606149812007,0.3268191810051889,0.2274065918640198
0.25,0,30.0,cp2c9,0.015502739147430195,0.01804816904141603,0.05828325583871261,0.07717550176606425
0.25,0,30.0,cp3a4,0.16106389217050637,0.155304138904838,0.11570829622052001,0.0657533221016678
0.25,0,30.0,csf1r,0.11498486862794147,0.15084266021370332,0.1009132401948841,0.04960440381264769
0.25,0,30.0,dhi1,0.10563760117436014,0.1107562158631203,0.1496600601309221,0.18300568298922126
0.25,0,30.0,dpp4,0.22783838260596836,0.30947377784746904,0.28845872517029564,0.3277661661771935
0.25,0,30.0,drd3,0.07126016074203514,0.08021388968902585,0.08952005628639986,0.11130973339772221
0.25,0,30.0,dyr,0.45475031090067103,0.17945886010926906,0.5040787997099614,0.29596549289202295
